Equipment,Timestamp,Temperature,Vibration,Usage_Hours,Lubrication_Status,Motor_Current,Pressure,Humidity,Conveyor_Speed,Maintenance_Required
Stamping Machine,2023-09-16 23:58:34,20.2,0.14,1892,Low,17.0,95,38,,Yes
Stamping Machine,2021-10-24 16:48:04,66.0,0.27,1993,Low,10.3,100,61,,No
Stamping Machine,2021-09-28 02:47:06,20.2,0.45,509,Low,16.3,100,41,,Yes
Stamping Machine,2022-02-04 09:20:03,55.6,0.5,509,Low,5.3,80,30,,No
Robot,2022-09-03 23:14:49,63.2,0.05,752,Good,6.9,80,58,,No
Robot,2021-10-24 16:48:04,79.7,0.5,509,Good,17.9,100,40,,Yes
CNC Machine,2023-09-15 23:39:07,76.1,0.36,509,Low,6.6,100,70,,Yes
CNC Machine,2021-10-14 00:34:41,27.9,0.05,1687,Good,20.0,88,70,,Yes
Robot,2021-10-24 16:48:04,50.0,0.11,1192,Good,14.7,100,32,,Yes
Stamping Machine,2022-09-03 23:14:49,48.9,0.09,1186,Low,9.9,100,70,,No
CNC Machine,2020-03-14 05:08:45,72.2,0.37,509,Good,7.4,100,63,,Yes
Stamping Machine,2020-11-06 00:46:27,75.7,0.5,509,Empty,5.3,80,62,,No
Conveyor Belt,2020-11-06 00:46:27,33.8,0.35,1365,Good,14.6,100,30,1.87,No
Stamping Machine,2023-07-18 10:48:35,20.2,0.18,509,Good,20.0,86,49,,No
Stamping Machine,2022-09-03 23:14:49,41.8,0.07,577,Empty,15.0,100,53,,No
Stamping Machine,2022-07-12 22:45:22,58.5,0.05,1357,Good,5.3,100,43,,Yes
Conveyor Belt,2020-03-14 05:08:45,47.5,0.38,803,Empty,13.7,95,30,,No
Conveyor Belt,2022-12-24 04:03:28,71.5,0.5,509,Good,12.7,100,55,,No
Stamping Machine,2023-09-16 23:58:34,46.4,0.21,509,Low,8.7,94,30,,No
CNC Machine,2022-12-24 04:03:28,61.7,0.28,509,Low,7.8,100,37,,Yes
Robot,2020-04-03 06:01:09,79.7,0.33,509,Low,20.0,96,70,,Yes
Stamping Machine,2022-09-03 23:14:49,76.1,0.07,748,Good,6.0,100,46,,Yes
CNC Machine,2020-10-18 06:17:22,64.6,0.17,509,Good,5.3,100,37,,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.29,829,Low,19.8,100,32,1.12,Yes
Stamping Machine,2023-07-02 01:54:59,20.2,0.23,997,Low,5.3,89,70,,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.35,509,Empty,17.1,80,61,,No
Conveyor Belt,2023-09-16 23:58:34,35.0,0.05,509,Low,16.3,84,70,,Yes
Conveyor Belt,2023-09-22 03:26:36,32.8,0.26,1104,Low,19.0,80,30,1.49,Yes
Robot,2020-02-11 14:20:45,20.2,0.35,1387,Low,5.8,91,66,,Yes
Stamping Machine,2021-02-24 14:18:36,38.7,0.5,1771,Good,12.9,100,34,1.06,Yes
Robot,2022-09-03 23:14:49,43.6,0.08,1993,Good,11.2,100,59,,Yes
Conveyor Belt,2023-07-18 10:48:35,30.4,0.5,618,Empty,15.1,100,30,,No
Robot,2022-09-03 23:14:49,34.8,0.27,1407,Good,5.3,100,36,,No
Conveyor Belt,2022-07-12 22:45:22,22.7,0.07,509,Low,20.0,83,40,,Yes
Stamping Machine,2021-09-28 12:04:16,66.3,0.17,509,Good,10.5,89,30,,Yes
Stamping Machine,2022-09-29 17:02:08,47.5,0.27,509,Good,10.4,100,41,,Yes
CNC Machine,2023-09-15 23:39:07,20.2,0.48,509,Empty,6.6,100,66,,Yes
Conveyor Belt,2020-01-06 23:09:12,75.6,0.5,769,Good,9.8,100,30,,Yes
Stamping Machine,2022-09-03 23:14:49,37.1,0.05,1298,Low,14.0,100,37,,Yes
Robot,2020-03-14 05:08:45,20.2,0.5,750,Empty,6.5,82,47,,Yes
Stamping Machine,2022-01-13 11:52:31,24.6,0.5,509,Low,6.8,100,36,,Yes
Robot,2020-07-05 07:56:20,20.2,0.5,1229,Low,5.3,84,70,1.86,No
Conveyor Belt,2021-10-14 00:34:41,79.7,0.05,748,Low,14.9,100,30,,Yes
Robot,2020-07-05 07:56:20,55.9,0.18,509,Low,20.0,80,70,,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.38,1993,Empty,6.5,100,30,,Yes
Stamping Machine,2020-10-18 06:17:22,28.8,0.5,801,Empty,19.6,82,43,,Yes
CNC Machine,2022-08-18 00:56:51,74.9,0.5,664,Empty,9.0,100,61,,No
Robot,2023-09-16 23:58:34,67.5,0.39,771,Empty,7.0,100,55,,Yes
Conveyor Belt,2020-11-06 00:46:27,20.2,0.16,766,Low,18.4,80,45,1.94,Yes
CNC Machine,2020-07-05 07:56:20,79.7,0.5,1134,Low,14.8,100,38,,Yes
Robot,2022-01-13 11:52:31,20.2,0.07,1806,Low,5.3,97,30,,Yes
Robot,2021-12-10 16:13:49,20.2,0.05,509,Low,15.8,87,39,,Yes
Stamping Machine,2022-07-12 22:45:22,25.3,0.15,1082,Good,20.0,96,56,,No
Stamping Machine,2023-03-26 20:29:59,52.0,0.38,1377,Empty,20.0,83,34,,No
CNC Machine,2021-05-06 05:33:14,20.2,0.5,509,Empty,7.3,80,32,,Yes
CNC Machine,2023-09-22 03:26:36,54.4,0.11,1863,Empty,12.3,100,70,,No
Stamping Machine,2022-09-03 23:14:49,30.8,0.19,509,Good,14.5,100,30,,Yes
Conveyor Belt,2022-01-29 19:57:36,31.0,0.5,695,Good,17.2,100,34,1.87,Yes
CNC Machine,2022-09-03 23:14:49,37.0,0.07,509,Low,12.1,100,50,,Yes
CNC Machine,2022-09-03 23:14:49,63.3,0.5,831,Empty,6.9,98,70,,No
Stamping Machine,2020-11-14 08:04:49,49.7,0.44,1561,Low,15.9,93,57,2.02,No
CNC Machine,2023-09-16 23:58:34,31.1,0.05,1993,Low,15.6,100,35,,Yes
CNC Machine,2022-03-11 02:11:01,48.9,0.2,767,Empty,12.6,87,30,,No
Stamping Machine,2022-07-12 22:45:22,40.9,0.5,509,Low,20.0,91,60,,Yes
Stamping Machine,2020-04-04 06:24:32,71.2,0.22,779,Empty,6.5,100,60,,Yes
Stamping Machine,2023-09-16 23:58:34,75.4,0.5,988,Good,20.0,92,48,,Yes
Conveyor Belt,2022-09-29 17:02:08,63.6,0.5,509,Good,9.1,93,43,1.86,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.5,1794,Good,13.5,100,30,1.89,No
Robot,2020-11-06 00:46:27,75.6,0.5,509,Empty,5.3,96,30,,Yes
Stamping Machine,2021-12-10 16:13:49,20.2,0.12,777,Good,10.5,96,30,,No
Stamping Machine,2022-09-29 17:02:08,79.7,0.5,509,Empty,16.9,93,39,,Yes
Stamping Machine,2022-07-04 01:26:47,36.5,0.5,784,Low,8.1,95,34,,No
Stamping Machine,2020-07-05 07:56:20,20.2,0.5,509,Empty,17.4,80,65,,No
CNC Machine,2020-03-14 05:08:45,30.1,0.33,1204,Empty,13.4,100,30,1.96,No
Stamping Machine,2023-09-16 23:58:34,50.2,0.05,1486,Empty,20.0,83,50,2.02,Yes
Robot,2020-03-14 05:08:45,75.7,0.45,509,Empty,10.2,85,36,,Yes
Stamping Machine,2020-04-03 03:08:29,71.6,0.45,509,Low,7.4,100,34,1.87,No
Robot,2020-01-06 23:09:12,31.3,0.12,509,Low,8.0,98,35,,Yes
Conveyor Belt,2020-10-18 06:17:22,20.2,0.23,1031,Good,20.0,100,53,,No
CNC Machine,2022-09-03 23:14:49,20.2,0.5,745,Low,8.6,89,30,,Yes
Stamping Machine,2022-03-11 02:11:01,20.2,0.3,1363,Good,5.3,100,51,,No
Stamping Machine,2021-12-10 16:13:49,54.7,0.21,987,Low,18.1,91,46,1.09,Yes
Conveyor Belt,2020-07-05 07:56:20,25.7,0.5,851,Low,5.3,94,64,1.87,Yes
Stamping Machine,2023-09-16 23:58:34,76.2,0.5,509,Good,10.0,80,66,,Yes
Stamping Machine,2020-03-14 05:08:45,79.7,0.18,509,Low,9.8,88,65,1.89,No
Robot,2020-04-03 06:01:09,33.0,0.5,509,Good,20.0,80,35,,Yes
Stamping Machine,2021-10-14 00:34:41,20.2,0.5,1137,Good,14.9,100,34,,No
Stamping Machine,2020-04-03 06:01:09,57.8,0.36,843,Empty,14.4,95,43,,No
Robot,2022-01-13 11:52:31,41.9,0.09,1238,Low,18.1,87,34,1.94,Yes
Stamping Machine,2020-03-14 05:08:45,29.5,0.05,509,Low,19.4,86,36,,Yes
Robot,2022-09-03 23:14:49,30.4,0.5,509,Good,15.6,87,30,,Yes
Stamping Machine,2021-10-14 00:34:41,20.2,0.46,1152,Good,17.5,84,37,,Yes
Robot,2022-09-03 23:14:49,75.5,0.06,509,Low,5.3,97,70,,No
Conveyor Belt,2023-09-15 23:39:07,20.2,0.4,509,Low,5.3,80,37,1.87,Yes
CNC Machine,2022-09-03 23:14:49,39.1,0.5,1993,Good,20.0,98,40,,No
Conveyor Belt,2020-10-18 06:17:22,22.3,0.05,509,Low,6.6,100,70,,No
Robot,2020-10-18 06:17:22,20.2,0.17,601,Good,20.0,85,34,,No
Robot,2022-09-03 23:14:49,60.7,0.3,509,Low,20.0,91,30,,No
Stamping Machine,2023-07-29 03:01:37,37.8,0.5,1018,Low,20.0,93,38,,Yes
Stamping Machine,2022-09-03 23:14:49,37.5,0.31,509,Empty,16.5,83,69,,Yes
Stamping Machine,2023-09-16 23:58:34,74.9,0.13,1061,Good,16.0,97,56,,No
Stamping Machine,2020-12-24 19:27:54,69.6,0.5,1194,Good,20.0,82,58,1.11,No
Conveyor Belt,2022-10-30 20:56:26,67.5,0.5,787,Good,16.7,83,60,1.87,Yes
Robot,2023-03-07 03:21:43,64.8,0.24,898,Empty,5.3,100,53,,No
Robot,2020-07-05 07:56:20,61.6,0.05,509,Good,5.3,100,30,1.91,No
Stamping Machine,2020-10-18 06:17:22,69.8,0.41,509,Good,5.3,97,30,,No
Robot,2020-07-05 07:56:20,79.7,0.1,509,Low,5.3,100,44,,No
Robot,2023-09-16 23:58:34,20.2,0.22,748,Good,17.2,95,36,,No
Conveyor Belt,2022-08-26 01:03:50,20.2,0.05,597,Good,5.3,94,70,1.96,Yes
Conveyor Belt,2022-04-21 13:10:24,20.2,0.2,1254,Good,17.4,80,70,,Yes
CNC Machine,2022-04-21 13:10:24,20.2,0.42,509,Low,15.9,96,42,,No
CNC Machine,2021-10-24 16:48:04,20.2,0.26,509,Good,14.5,89,30,,Yes
Stamping Machine,2022-04-17 07:46:25,20.2,0.18,1993,Low,5.3,87,51,,Yes
Stamping Machine,2020-04-23 18:42:40,20.2,0.49,509,Low,20.0,93,30,,Yes
CNC Machine,2022-09-03 23:14:49,28.9,0.07,509,Low,14.7,96,70,,Yes
Stamping Machine,2020-11-06 00:46:27,60.5,0.38,509,Empty,6.5,100,57,,Yes
Stamping Machine,2023-04-12 11:22:29,41.5,0.37,1772,Low,20.0,92,30,,Yes
Stamping Machine,2020-06-13 11:12:12,40.3,0.07,509,Low,13.5,99,35,,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.05,1127,Empty,20.0,96,30,,Yes
CNC Machine,2023-09-16 23:58:34,39.7,0.5,509,Empty,9.3,100,36,,Yes
Stamping Machine,2023-09-15 23:39:07,28.9,0.27,509,Good,5.3,88,35,,Yes
Conveyor Belt,2022-09-03 23:14:49,20.2,0.5,1504,Empty,20.0,80,30,,No
Robot,2023-09-15 23:39:07,30.9,0.17,1993,Low,9.0,100,51,,Yes
Stamping Machine,2022-07-04 01:26:47,27.6,0.5,509,Good,13.6,100,35,,Yes
Conveyor Belt,2023-09-16 23:58:34,39.5,0.42,1792,Low,14.2,80,30,,Yes
Stamping Machine,2021-10-24 16:48:04,60.5,0.28,1666,Good,11.9,100,30,,Yes
Stamping Machine,2022-09-03 23:14:49,61.4,0.05,754,Empty,18.9,80,39,2.01,Yes
Robot,2023-09-16 23:58:34,63.2,0.39,766,Low,20.0,100,39,1.91,Yes
CNC Machine,2020-01-06 23:09:12,45.4,0.08,509,Empty,6.7,100,40,,Yes
Stamping Machine,2023-09-15 23:39:07,20.2,0.05,604,Good,16.1,92,70,,No
Stamping Machine,2020-11-06 00:46:27,20.2,0.5,1993,Low,20.0,90,46,1.91,Yes
Stamping Machine,2023-09-16 23:58:34,20.2,0.24,1993,Good,17.7,97,30,,No
Stamping Machine,2022-09-03 23:14:49,31.6,0.5,1415,Empty,19.9,84,55,,Yes
Robot,2021-10-24 16:48:04,20.2,0.14,1185,Empty,20.0,84,55,,No
Stamping Machine,2020-07-05 07:56:20,20.2,0.5,1589,Good,20.0,86,57,,No
Stamping Machine,2020-05-01 07:41:51,59.4,0.43,864,Empty,13.7,100,60,,Yes
Stamping Machine,2020-10-18 06:17:22,37.8,0.5,509,Good,20.0,92,39,,No
CNC Machine,2022-04-21 13:10:24,65.7,0.19,509,Low,20.0,97,30,,No
Robot,2022-09-03 23:14:49,68.2,0.09,509,Empty,5.3,100,67,,Yes
Conveyor Belt,2020-01-06 23:09:12,79.7,0.07,509,Good,5.3,100,65,1.06,No
Robot,2022-09-03 23:14:49,79.7,0.5,509,Low,20.0,83,53,,No
Stamping Machine,2022-07-04 01:26:47,74.2,0.29,509,Good,9.5,100,30,,No
Conveyor Belt,2022-07-12 22:45:22,44.6,0.05,509,Good,20.0,97,34,,No
CNC Machine,2023-09-15 23:39:07,54.8,0.16,509,Low,17.8,83,30,,No
Stamping Machine,2022-04-21 13:10:24,20.2,0.05,1495,Empty,5.3,100,36,,No
Robot,2023-09-16 23:58:34,20.2,0.05,509,Good,5.3,84,70,,Yes
Robot,2020-03-05 23:45:13,20.2,0.5,1714,Good,16.7,98,66,,No
Stamping Machine,2022-07-12 22:45:22,57.7,0.1,1757,Low,8.6,80,70,1.9,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.14,795,Good,17.9,80,35,,Yes
Robot,2021-10-24 16:48:04,79.7,0.43,1312,Good,18.4,91,45,1.45,No
Robot,2021-10-14 00:34:41,75.3,0.36,1809,Empty,13.2,91,30,3.0,Yes
CNC Machine,2020-07-05 07:56:20,31.3,0.16,509,Good,12.3,80,34,,No
Stamping Machine,2022-04-21 13:10:24,39.9,0.5,1906,Empty,8.4,100,49,,No
Conveyor Belt,2022-11-14 13:53:27,74.9,0.24,817,Good,5.3,90,47,1.23,Yes
Stamping Machine,2020-07-09 13:44:55,20.2,0.5,1669,Empty,20.0,80,57,1.88,Yes
Stamping Machine,2022-04-21 13:10:24,20.2,0.13,509,Low,19.4,82,30,,No
Stamping Machine,2022-07-12 22:45:22,79.7,0.19,1639,Low,15.4,87,30,,No
Robot,2022-04-21 13:10:24,20.2,0.05,1099,Low,6.8,93,57,,No
Conveyor Belt,2021-12-10 16:13:49,67.5,0.34,509,Low,20.0,100,36,,No
Stamping Machine,2023-03-07 03:21:43,20.2,0.05,509,Empty,8.9,80,70,1.83,Yes
Stamping Machine,2020-07-05 07:56:20,66.0,0.05,1407,Good,20.0,88,54,,Yes
Stamping Machine,2020-11-06 00:46:27,55.7,0.5,509,Low,15.8,80,61,1.87,No
Robot,2022-09-03 23:14:49,21.9,0.19,668,Low,19.2,87,61,1.06,No
CNC Machine,2020-07-05 07:56:20,20.2,0.05,1032,Empty,15.4,85,63,1.88,Yes
Stamping Machine,2020-06-13 11:12:12,20.2,0.2,575,Good,19.5,80,46,,Yes
Stamping Machine,2022-04-21 13:10:24,68.8,0.5,1692,Low,5.3,100,65,,No
CNC Machine,2023-07-18 10:48:35,20.2,0.05,727,Empty,20.0,86,64,,No
Robot,2022-09-03 23:14:49,20.2,0.07,509,Low,17.2,99,65,,Yes
Stamping Machine,2020-10-27 00:55:26,20.2,0.13,663,Good,17.9,83,30,,No
Robot,2021-10-24 16:48:04,65.6,0.19,737,Good,5.3,80,54,,Yes
CNC Machine,2020-03-05 23:45:13,67.4,0.05,509,Empty,5.3,93,64,1.35,Yes
CNC Machine,2022-09-03 23:14:49,20.2,0.11,1993,Low,5.3,88,70,,No
CNC Machine,2022-04-21 13:10:24,20.2,0.27,509,Low,18.2,95,52,,Yes
Robot,2021-03-14 07:24:27,20.2,0.15,509,Low,16.4,96,37,,No
Conveyor Belt,2022-09-03 23:14:49,79.7,0.38,1241,Empty,7.7,100,30,,Yes
Stamping Machine,2022-07-12 22:45:22,20.2,0.28,833,Good,13.0,94,36,,Yes
Conveyor Belt,2020-04-03 03:08:29,20.2,0.19,509,Good,9.9,87,37,1.06,Yes
Conveyor Belt,2023-09-16 23:58:34,40.9,0.27,551,Empty,20.0,100,35,,No
Robot,2022-01-11 09:47:18,31.5,0.5,509,Low,14.4,80,30,1.99,Yes
Stamping Machine,2020-07-05 07:56:20,20.2,0.05,509,Low,5.3,80,39,,No
CNC Machine,2022-04-21 13:10:24,54.0,0.16,725,Low,20.0,80,70,,Yes
Robot,2020-04-03 06:01:09,25.2,0.38,509,Good,9.3,80,60,,Yes
Stamping Machine,2022-09-03 23:14:49,65.9,0.37,509,Low,6.5,100,63,,No
Stamping Machine,2021-08-04 20:57:21,42.4,0.05,509,Empty,9.3,95,56,,No
Conveyor Belt,2021-12-13 07:16:34,29.8,0.5,1721,Good,14.8,100,41,1.93,Yes
Stamping Machine,2022-07-12 22:45:22,35.4,0.05,509,Low,8.3,90,40,,No
Conveyor Belt,2022-06-19 13:45:22,20.2,0.43,509,Empty,10.6,100,34,1.87,Yes
CNC Machine,2021-09-15 17:57:32,54.0,0.5,744,Empty,16.3,83,30,,Yes
Stamping Machine,2023-09-15 23:39:07,69.9,0.5,509,Low,5.3,84,49,,No
Conveyor Belt,2022-02-04 09:20:03,32.5,0.5,1993,Low,18.3,97,30,2.07,Yes
CNC Machine,2021-10-24 16:48:04,61.7,0.5,1037,Good,20.0,92,30,,Yes
Conveyor Belt,2023-09-16 23:58:34,20.2,0.5,754,Good,5.3,100,30,,Yes
CNC Machine,2022-07-12 22:45:22,43.7,0.19,821,Low,10.7,98,70,,Yes
Stamping Machine,2021-06-20 23:29:22,30.3,0.16,956,Low,18.5,100,30,1.87,Yes
Stamping Machine,2023-09-16 23:58:34,20.2,0.5,509,Empty,14.6,80,30,,Yes
Conveyor Belt,2022-07-12 22:45:22,68.6,0.09,509,Empty,20.0,85,31,1.93,Yes
Conveyor Belt,2022-07-12 22:45:22,32.3,0.5,509,Empty,11.4,87,40,,Yes
CNC Machine,2020-11-07 17:17:59,29.9,0.05,509,Low,5.3,85,50,,Yes
Robot,2023-09-16 23:58:34,65.5,0.15,859,Low,11.3,90,49,,No
Stamping Machine,2022-09-03 23:14:49,36.1,0.05,1993,Low,19.9,97,50,,Yes
CNC Machine,2022-10-30 20:56:26,24.0,0.5,823,Low,5.3,100,30,,No
CNC Machine,2022-07-04 01:26:47,20.2,0.35,509,Empty,5.3,100,34,,No
CNC Machine,2022-07-12 22:45:22,31.4,0.5,855,Good,6.7,95,45,,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.17,509,Low,5.3,89,35,,No
Conveyor Belt,2023-07-24 16:21:48,20.2,0.33,651,Low,7.1,100,69,1.87,No
Stamping Machine,2022-09-03 23:14:49,31.3,0.33,1993,Low,13.5,100,48,,Yes
Robot,2020-07-05 07:56:20,30.0,0.5,1993,Low,18.5,80,60,,Yes
Conveyor Belt,2022-01-03 02:07:29,79.7,0.05,509,Empty,8.2,100,30,,No
Conveyor Belt,2022-09-03 23:14:49,67.6,0.05,534,Good,20.0,100,70,,Yes
CNC Machine,2022-09-03 23:14:49,30.3,0.05,509,Good,11.7,94,65,,No
Stamping Machine,2022-02-04 09:20:03,55.8,0.5,509,Low,6.5,86,30,,No
Stamping Machine,2022-09-03 23:14:49,29.9,0.5,826,Good,20.0,80,64,1.06,Yes
CNC Machine,2020-06-13 11:12:12,30.5,0.5,682,Empty,14.7,86,38,,Yes
Robot,2021-05-06 05:33:14,20.2,0.05,514,Good,20.0,100,40,,Yes
CNC Machine,2020-10-18 06:17:22,29.1,0.36,1548,Good,15.8,90,35,,No
Stamping Machine,2021-07-27 09:52:10,60.6,0.16,616,Low,20.0,100,37,,No
Robot,2023-09-16 23:58:34,20.2,0.5,753,Empty,15.5,87,30,1.86,Yes
Robot,2022-04-05 21:56:47,79.7,0.06,1318,Empty,5.3,100,70,,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.05,509,Empty,5.3,100,47,,Yes
CNC Machine,2023-05-29 10:17:38,79.7,0.5,509,Low,6.8,88,57,,No
Conveyor Belt,2020-10-18 06:17:22,79.7,0.5,1084,Low,9.4,100,30,1.87,Yes
CNC Machine,2022-03-17 11:53:18,20.2,0.5,1993,Empty,6.5,92,30,,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.05,509,Low,20.0,80,36,,No
Stamping Machine,2023-07-18 10:48:35,20.2,0.27,509,Empty,20.0,85,30,,Yes
Stamping Machine,2022-03-20 04:27:42,70.8,0.5,1662,Empty,5.3,90,63,,Yes
Robot,2022-07-04 01:26:47,26.5,0.5,1056,Good,19.7,93,39,,Yes
Conveyor Belt,2022-09-03 23:14:49,20.2,0.46,1264,Low,8.4,83,52,,No
Stamping Machine,2023-07-02 09:00:22,68.5,0.5,509,Low,20.0,80,56,,No
CNC Machine,2023-06-26 00:01:09,32.3,0.5,754,Low,20.0,80,40,,Yes
CNC Machine,2023-01-21 15:34:41,20.2,0.24,737,Empty,7.0,99,30,,Yes
Robot,2021-05-24 06:15:00,20.2,0.11,1264,Good,20.0,91,30,,No
Stamping Machine,2020-04-24 19:14:09,65.6,0.5,981,Low,5.3,96,41,1.93,Yes
Stamping Machine,2022-05-05 07:57:00,20.2,0.5,1838,Good,13.6,80,52,2.18,Yes
Stamping Machine,2022-08-18 00:56:51,20.2,0.5,1243,Empty,5.3,100,30,,Yes
Conveyor Belt,2020-09-09 21:58:16,75.1,0.5,567,Empty,19.9,90,46,,No
Robot,2022-09-03 23:14:49,20.2,0.31,1170,Good,17.7,94,34,,No
Robot,2023-01-21 15:34:41,37.1,0.43,509,Good,15.1,98,30,1.94,Yes
Stamping Machine,2021-10-14 00:34:41,49.4,0.06,509,Low,6.8,100,54,,No
CNC Machine,2022-09-03 23:14:49,33.7,0.21,771,Low,8.7,100,39,,Yes
CNC Machine,2021-10-24 16:48:04,79.7,0.08,509,Low,20.0,84,34,,Yes
Robot,2022-12-24 04:03:28,79.7,0.05,509,Good,11.4,80,56,,No
Stamping Machine,2023-09-15 23:39:07,56.2,0.5,1443,Empty,7.4,100,60,,No
Stamping Machine,2023-09-16 23:58:34,20.2,0.5,1536,Good,20.0,94,30,,No
Robot,2023-03-08 15:55:14,22.0,0.05,979,Empty,5.3,100,38,,No
Stamping Machine,2023-04-12 11:22:29,63.4,0.5,1070,Low,10.2,100,30,,Yes
Conveyor Belt,2023-09-16 23:58:34,59.5,0.05,509,Empty,17.2,94,44,,Yes
CNC Machine,2023-09-15 23:39:07,20.2,0.24,509,Good,20.0,85,30,,Yes
Stamping Machine,2022-09-03 23:14:49,27.6,0.05,836,Low,12.8,84,66,,Yes
Stamping Machine,2020-10-04 20:09:29,70.1,0.2,872,Good,7.8,100,62,,Yes
CNC Machine,2020-03-14 05:08:45,20.2,0.13,1993,Empty,5.4,80,67,,Yes
CNC Machine,2023-09-16 23:58:34,70.6,0.5,509,Empty,6.9,88,47,,Yes
CNC Machine,2022-07-12 22:45:22,67.5,0.31,509,Low,5.3,100,30,1.06,Yes
CNC Machine,2022-07-12 22:45:22,59.3,0.5,779,Empty,19.7,82,34,,Yes
Stamping Machine,2020-10-18 06:17:22,72.8,0.5,749,Good,9.9,100,30,,Yes
CNC Machine,2022-07-12 22:45:22,26.4,0.43,1993,Empty,16.5,100,36,,Yes
CNC Machine,2020-08-10 03:31:41,68.2,0.5,1993,Good,20.0,100,47,,No
Conveyor Belt,2023-09-16 23:58:34,60.6,0.5,509,Low,20.0,80,36,1.97,Yes
Stamping Machine,2022-12-24 04:03:28,39.7,0.5,1300,Low,5.3,100,47,,No
CNC Machine,2023-07-24 16:21:48,20.2,0.05,509,Good,15.3,91,48,,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.09,1332,Empty,16.3,83,53,,No
Robot,2022-09-03 23:14:49,20.2,0.32,1489,Good,20.0,100,32,,Yes
Robot,2023-09-22 03:26:36,79.7,0.15,509,Good,15.6,100,34,,No
CNC Machine,2021-09-28 02:47:06,60.5,0.41,509,Low,9.4,98,30,,Yes
CNC Machine,2021-10-24 16:48:04,70.9,0.3,509,Good,20.0,98,40,1.92,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.05,509,Empty,9.7,80,57,,Yes
CNC Machine,2022-02-04 09:20:03,62.8,0.2,810,Good,14.4,95,54,,No
CNC Machine,2023-07-24 16:21:48,73.9,0.5,509,Empty,20.0,80,30,,Yes
Robot,2022-09-03 23:14:49,70.3,0.5,512,Good,18.8,87,59,,Yes
Stamping Machine,2023-09-16 23:58:34,75.0,0.5,509,Low,10.4,91,56,,No
Stamping Machine,2020-10-18 06:17:22,20.2,0.35,792,Low,20.0,100,30,,Yes
CNC Machine,2023-08-26 08:00:02,43.6,0.37,1920,Empty,8.5,100,48,1.95,Yes
CNC Machine,2022-04-21 13:10:24,30.0,0.08,509,Good,5.3,100,30,,No
Stamping Machine,2022-04-21 13:10:24,75.7,0.5,1215,Good,20.0,92,30,2.52,No
CNC Machine,2023-09-15 23:39:07,20.2,0.38,509,Good,16.6,80,30,1.17,Yes
Conveyor Belt,2023-09-16 23:58:34,61.0,0.35,1312,Low,13.9,100,36,,No
Robot,2023-09-16 23:58:34,46.4,0.05,509,Low,20.0,100,32,,Yes
CNC Machine,2023-09-16 23:58:34,20.4,0.05,509,Low,19.4,83,58,,Yes
Stamping Machine,2022-09-03 23:14:49,57.2,0.5,509,Low,5.5,88,30,,Yes
Robot,2021-12-10 16:13:49,38.3,0.5,509,Good,20.0,84,46,,No
Robot,2022-09-03 23:14:49,67.8,0.5,509,Low,7.5,91,36,1.06,No
Stamping Machine,2022-02-04 09:20:03,79.7,0.35,917,Good,14.1,94,51,,Yes
Stamping Machine,2020-03-14 05:08:45,71.8,0.32,509,Good,7.3,94,38,,Yes
CNC Machine,2020-01-06 23:09:12,20.2,0.05,1712,Empty,7.0,85,70,2.02,Yes
Stamping Machine,2021-01-31 21:25:50,49.8,0.06,530,Empty,5.3,100,70,,No
Stamping Machine,2022-09-03 23:14:49,75.2,0.2,509,Low,10.3,85,42,,Yes
Robot,2022-07-04 01:26:47,26.2,0.06,509,Empty,10.6,100,40,,Yes
Stamping Machine,2020-10-18 06:17:22,71.2,0.15,509,Low,20.0,80,36,,Yes
CNC Machine,2023-07-02 01:54:59,53.3,0.05,1353,Good,5.3,100,30,,No
CNC Machine,2022-07-12 22:45:22,56.1,0.45,781,Empty,15.5,80,35,1.12,Yes
Conveyor Belt,2022-07-12 22:45:22,56.0,0.35,862,Empty,13.7,80,30,1.74,Yes
CNC Machine,2022-09-03 23:14:49,20.2,0.05,509,Low,9.8,89,30,,No
Conveyor Belt,2022-04-21 13:10:24,76.1,0.05,767,Empty,14.9,83,70,,No
CNC Machine,2022-01-08 16:52:54,79.7,0.05,947,Empty,19.7,94,45,,Yes
Robot,2020-11-07 17:17:59,34.2,0.18,509,Good,20.0,80,34,,No
Robot,2023-09-16 23:58:34,29.1,0.22,1411,Low,7.6,100,30,1.94,Yes
Robot,2022-09-03 23:14:49,20.2,0.5,509,Good,20.0,82,30,,Yes
Stamping Machine,2021-12-10 16:13:49,75.9,0.2,956,Low,5.3,93,48,,Yes
Robot,2022-01-13 11:52:31,40.3,0.42,1096,Low,12.5,80,30,,No
CNC Machine,2022-09-03 23:14:49,31.4,0.05,1866,Low,18.6,86,40,,Yes
